name,sport,education,hometown_city,hometown_state,age,medals_gold_silver_bronze,years_represented
Ivonne Mosquera-Schmidt,Para Track and Field,Stanford University Mathematics '99; CUNY Brooklyn College Masters Finance '08,Bogota,,49,0|0|0,2016
Michael Murray,Para Track and Field,,Nashville,TN,35,0|0|0,2012
Paul Nitz,Para Track and Field,Southwest State University,Edina,MN,57,4|0|1,1992|1996|2000|2004|2012
Justin Phongsavanh,Para Track and Field,Des Moines Area Community College,Des Moines,IA,28,0|0|1,2020|2024
Aaron Pike,"Para Nordic Skiing, Para Track and Field",University of Illinois Urbana-Champaign,Park Rapids,MN,40,0|0|0,2012|2014|2016|2018|2020|2022|2024|2026
Markeith Price,Para Track and Field,Mount Saint Joseph High School '08; Tennessee State University '12 Family and Consumer Science Fashion Merchandising,Baltimore,MD,35,0|0|0,2012|2016
David Prince,Para Track and Field,,Marietta,GA,42,0|0|1,2012|2016
Austin Pruitt,Para Track and Field,,Greenacres,,31,0|0|0,2012|2016
Luis Puertas,Para Track and Field,,Orlando,FL,39,0|0|0,2020
Maggie Redden,Para Track and Field,Penn State University Communications,Jersey City,,0|0|0,2008
Shirley Reilly,Para Track and Field,Los Gatos High School '03; University of Arizona Public Management And Policy,Los Gatos,CA,40,1|1|2,2004|2008|2012|2016
Mason Rhodes,Para Track and Field,Paine College '12 Counseling; Georgia Southern University '14 M.Ed.,Glennville,GA,36,0|0|0,2016
Isaiah Rigo,Para Track and Field,University of Illinois at Urbana-Champaign,Cheney,WA,27,0|0|0,2020
Jaleen Roberts,Para Track and Field,Eastern Washington University (Cheney Wash.),Kent,WA,27,0|3|1,2020|2024
Josh Roberts,Para Track and Field,Jeff State Community College,Morris,AL,44,0|0|0,2008|2012|2016
John Roberts,Para Track and Field,South Eugene High School '03; Lane Community College '11 Human Services,Eugene,OR,42,0|0|0,2016
Daniel Romanchuk,Para Track and Field,University of Illinois at Urbana-Champaign,Mount Airy,MD,27,2|0|2,2016|2020|2024
Rayven Sample,Para Track and Field,Bucknell University,Jamestown,NY,23,0|0|0,2020|2024
Susannah Scaroni,Para Track and Field,University of Illinois at Urbana-Champaign,Tekoa,WA,34,1|1|4,2012|2016|2020|2024
James Senbeta,Para Track and Field,Penn Wood High School; University of Illinois '14 Agricultural and Biological Engineering,Philadelphia,PA,39,0|0|0,2016
Scot Severn,Para Track and Field,Saginaw Valley State University,Caro,MI,57,0|1|1,2008|2012|2016|2020
Brian Siemann,Para Track and Field,University of Illinois-Urbana Champaign '15 Special Education MS,Champaign,IL,36,0|0|2,2012|2016|2020|2024
Jerome Singleton,Para Track and Field,Dutch Fork High School '04; University of Michigan Industrial and Operations Engineering; Morehouse College '11 Mathematics and Applied Physics,Irmo,SC,39,1|1|0,2008|2012|2016
Jeff Skiba,Para Track and Field,Skyline High School '02; University of Phoenix Criminal Justice,Sammamish,WA,42,1|3|0,2004|2008|2012|2016
Nick Slade,Para Track and Field,Albuquerque Academy '15; University of New Mexico '19 Economics,Albuquerque,NM,29,0|0|0,2016
Rolland Slade,Para Track and Field,Monte Vista High School '03; California State University San Marcos Human Development Counseling,Spring Valley,CA,41,0|0|0,
Chelsea Stein,Para Track and Field,,Spring,TX,,0|0|0,2024
Moray Steward,Para Track and Field,,San Diego,CA,,0|0|0,2020
Taylor Swanson,Para Track and Field,Arizona State University,Spokane,WA,33,0|1|1,2024
Taylor Talbot,Para Track and Field,,Ontario,OR,25,0|0|0,2020
Roderick Townsend,Para Track and Field,Boise State University '15,Stockton,CA,33,4|1|0,2016|2020|2024
Steven Toyoji,Para Track and Field,Redmond High School '04; University of Arizona '09; San Jose State University '15,Redmond,WA,40,0|0|0,2008|2016
Shaquille Vance,Para Track and Field,Houston High School (Houston Mississippi) '10,Houston,TX,35,0|1|0,2012|2016
Jarryd Wallace,Para Track and Field,University of Georgia,Athens,GA,35,0|0|2,2012|2016|2020|2024
Kyle Wardwell,Para Track and Field,Norman North High School '10; University of Oklahoma '15 Biomedical Engineering,Norman,OK,35,0|0|0,2016
Amy Watt,Para Track and Field,Henry Gunn High School '16; Pomona College '20,Palo Alto,CA,28,0|0|0,2016|2020
Ahkeel Whitehead,Para Track and Field,Chula Vista High School; San Diego State University '17 Kinesiology,San Diego,CA,31,0|0|0,2016
Wesley Williams,Para Track and Field,California State University-Northridge '05 Graphic Design,Visalia,CA,43,0|0|0,2008|2012|2016|2020
Johnnie Williams,Para Track and Field,Brandon Senior High (Brandon Florida),Tampa,FL,43,0|0|0,2016
Taleah Williams,Para Track and Field,Doane College '19,Norfolk,NE,29,0|0|0,2016|2020|2024
Liz Willis,Para Track and Field,Sterling High School; Wichita State University '09 BA Elementary Education; Wichita State University '13 MEd Special Education,Sterling,KS,39,0|0|0,2016
Dallas Wise,Para Track and Field,Coastal Carolina University,Columbia,SC,25,0|1|0,2020
Michael Wishnia,Para Track and Field,Park University '11 Criminal Justice,Livingston,NJ,44,0|0|0,2016
Hunter Woodhall,Para Track and Field,University of Arkansas '21,Syracuse,UT,27,1|1|3,2016|2020|2024
Regas Woods,Para Track and Field,,Dunnellon,FL,45,0|0|0,2016|2020
Tanner Wright,Para Track and Field,Hardin-Simmons University '20,Fort Worth,TX,28,0|0|0,2020
Deja Young,Para Track and Field,Wichita State University,Mesquite,TX,29,2|0|1,2016|2020
Marshall Zackery,Para Track and Field,Florida School for Deaf and Blind '11; Central Community College '19 Liberal Arts,Ocala,FL,32,0|0|0,2020
