name,sport,education,hometown_city,hometown_state,age,medals_gold_silver_bronze,years_represented
Nick Thoman,Swimming,University of Arizona,Cincinnati,,40,1|1|0,2012
Jenny Thompson,Swimming,"Dover High School; Stanford University; Columbia University",Dover,NH,53,8|3|1,1992|1996|2000|2004
Dara Torres,Swimming,"Mission Viejo High School; University of Florida",Parkland,FL,59,4|4|4,1984|1988|1992|2000|2008
Darian Townsend,Swimming,University of Arizona,Litchfield Park,AZ,41,0|0|0,2004|2008|2012
Ashley Twichell,Swimming,"Fayetteville-Manlius High School; Duke University",Fayetteville,NY,36,0|0|0,2020
Luca Urlando,Swimming,University of Georgia,Sacramento,CA,24,0|0|0,2024
Amy Van Dyken,Swimming,"Cherry Creek High School; Colorado State University",Denver,CO,53,6|0|0,1996|2000
Dana Vollmer,Swimming,"Granbury High School; University of California Berkeley",Granbury,TX,38,5|1|1,2004|2012|2016
Alex Walsh,Swimming,University of Virginia,Nashville,TN,24,0|1|0,2020|2024
Gretchen Walsh,Swimming,University of Virginia,Nashville,TN,23,2|2|0,2024
Emma Weber,Swimming,University of Virginia,Boulder,CO,22,1|0|0,2024
Claire Weinstein,Swimming,University of California Berkeley,Las Vegas,NV,19,0|1|0,2024
Amanda Weir,Swimming,"Brookwood High School; University of Southern California",Lawrenceville,GA,40,0|3|1,2004|2012|2016
Abbey Weitzeil,Swimming,University of California Berkeley,Santa Clarita,CA,29,2|3|1,2016|2020|2024
Scott Weltz,Swimming,UC Davis,San Jose,,39,0|0|0,2012
Emma Weyant,Swimming,University of Virginia,Sarasota,FL,24,0|1|1,2020|2024
Rhyan White,Swimming,University of Alabama,Herriman,UT,26,0|1|0,2020
Luke Whitlock,Swimming,University of Florida,Noblesville,IN,20,0|0|0,2024
Jordan Wilimovsky,Swimming,Northwestern University,Malibu,CA,32,0|0|0,2016|2020
Andrew Wilson,Swimming,"Phillips Academy; Emory College",Bethesda,MD,32,1|0|0,2020
Kelsi Worrell,Swimming,"Rancocas Valley Regional High School; University of Louisville",Westampton,NJ,31,1|0|0,2016
Donna de Varona,Swimming,"Santa Clara High School; UCLA",Santa Clara,CA,79,3|0|0,1960|1964
